DATE,LAT,LON,CHL,PAR,POC,PIC,SST
2016-01-11T02:24:59.000Z,6.02,99.98,1.2,50.106,225.4,0.000104,30.51
2016-01-12T02:59:59.000Z,6.02,99.98,1.31,50.136,200.2,0.00014599,30.31
2016-01-13T02:15:00.000Z,6.02,99.98,1.2,50.284,177.6,0.000068,29.67
2016-01-14T02:49:59.000Z,6.02,99.98,1.06,50.39,226.6,0.000014,28.19
2016-01-15T02:10:00.000Z,6.02,99.98,-32767,38.798,-32767,-32767,-32767
2016-01-16T02:40:00.000Z,6.02,99.98,-32767,44.82,-32767,-32767,-32767
2016-01-17T02:05:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-01-18T02:30:00.000Z,6.02,99.98,-32767,26.226,-32767,-32767,-32767
2016-01-19T03:00:00.000Z,6.02,99.98,-32767,50.112,-32767,-32767,-32767
2016-01-20T02:19:59.000Z,6.02,99.98,0.69,50.94,126.2,0.000014,31.01
2016-01-21T02:55:00.000Z,6.02,99.98,0.9,50.92,172.8,0.000014,31.99
2016-01-22T02:09:59.000Z,6.02,99.98,0.72,51.216,128.6,0.00002199,31.93
2016-01-23T02:44:59.000Z,6.02,99.98,0.73,51.134,163.2,0.000016,31.21
2016-01-24T02:04:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-01-25T02:34:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-01-26T02:59:59.000Z,6.02,99.98,-32767,51.174,-32767,-32767,-32767
2016-01-27T02:24:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,29.18
2016-01-28T02:59:59.000Z,6.02,99.98,-32767,51.768,-32767,-32767,-32767
2016-01-29T02:15:00.000Z,6.02,99.98,-32767,51.702,-32767,-32767,-32767
2016-01-30T02:49:59.000Z,6.02,99.98,-32767,51.904,-32767,-32767,29.5
2016-01-31T02:10:00.000Z,6.02,99.98,-32767,43.304,-32767,-32767,-32767
2016-02-01T02:40:00.000Z,6.02,99.98,1.82,52.416,274,0.000542,29.7
2016-02-02T02:10:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-02-03T02:29:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,29.61
2016-02-04T02:59:58.000Z,6.02,99.98,-32767,52.99,-32767,-32767,-32767
2016-02-05T02:19:59.000Z,6.02,99.98,-32767,34.244,-32767,-32767,-32767
2016-02-06T02:54:59.000Z,6.02,99.98,-32767,14.782,-32767,-32767,-32767
2016-02-07T02:09:59.000Z,6.02,99.98,-32767,38.724,-32767,-32767,-32767
2016-02-08T02:44:59.000Z,6.02,99.98,-32767,47.006,-32767,-32767,-32767
2016-02-09T02:14:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-02-10T02:34:59.000Z,6.02,99.98,-32767,37.39,-32767,-32767,-32767
2016-02-11T02:59:59.000Z,6.02,99.98,-32767,50.048,-32767,-32767,-32767
2016-02-12T02:25:00.000Z,6.02,99.98,-32767,49.9,-32767,-32767,-32767
2016-02-13T02:59:59.000Z,6.02,99.98,-32767,53.25,-32767,-32767,-32767
2016-02-14T02:14:58.000Z,6.02,99.98,-32767,53.568,-32767,-32767,-32767
2016-02-15T02:50:00.000Z,6.02,99.98,1.32,54.126,212.4,0.00002199,30.42
2016-02-16T02:09:59.000Z,6.02,99.98,-32767,54.362,-32767,-32767,30.23
2016-02-17T02:39:58.000Z,6.02,99.98,1.32,54.424,212.4,0.000026,30.99
2016-02-18T02:09:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-02-19T02:29:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-02-20T02:59:59.000Z,6.02,99.98,-32767,44.534,-32767,-32767,-32767
2016-02-21T02:19:59.000Z,6.02,99.98,-32767,54.686,-32767,-32767,29.94
2016-02-22T02:54:59.000Z,6.02,99.98,1.08,55.272,242.8,0.00002,29.74
2016-02-23T02:09:59.000Z,6.02,99.98,0.86,55.57,190.6,0.000014,30.26
2016-02-24T02:44:59.000Z,6.02,99.98,-32767,55.27,-32767,-32767,30.97
2016-02-25T02:14:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-02-26T02:34:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,29.36
2016-02-27T02:59:59.000Z,6.02,99.98,-32767,55.814,-32767,-32767,30.32
2016-02-28T02:25:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-02-29T02:59:59.000Z,6.02,99.98,-32767,55.438,-32767,-32767,-32767
2016-03-01T02:34:59.000Z,6.02,99.98,1.16,56.136,214,0.00017799,30.21
2016-03-02T02:50:00.000Z,6.02,99.98,1.33,56.122,239,0.00009,30
2016-03-03T02:25:00.000Z,6.02,99.98,-32767,54.276,-32767,-32767,-32767
2016-03-04T02:39:59.000Z,6.02,99.98,0.96,56.458,177,0.00016399,30.08
2016-03-05T02:09:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-03-06T02:55:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,30.66
2016-03-07T02:59:59.000Z,6.02,99.98,-32767,55.76,-32767,-32767,-32767
2016-03-08T02:45:00.000Z,6.02,99.98,0.6,56.744,118.6,0.000012,31.72
2016-03-09T02:54:59.000Z,6.02,99.98,0.91,56.79,221,0.000016,31.38
2016-03-10T02:29:59.000Z,6.02,99.98,0.56,56.704,113.6,0.000016,30.64
2016-03-11T02:44:59.000Z,6.02,99.98,0.75,56.932,161.4,0.000018,30.85
2016-03-12T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-03-13T02:59:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,29.68
2016-03-14T02:59:59.000Z,6.02,99.98,-32767,56.812,-32767,-32767,-32767
2016-03-15T02:49:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,30.05
2016-03-16T02:59:59.000Z,6.02,99.98,0.96,57.414,253.8,0.00036599,-32767
2016-03-17T02:39:59.000Z,6.02,99.98,0.88,56.18,184.2,0.000942,-32767
2016-03-18T02:50:00.000Z,6.02,99.98,0.75,57.52,202.2,0.00008,29.34
2016-03-19T02:25:00.000Z,6.02,99.98,-32767,57.122,-32767,-32767,30.58
2016-03-20T02:39:59.000Z,6.02,99.98,0.68,57.53,159.6,0.000016,31.17
2016-03-21T02:14:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-03-22T02:59:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-03-23T02:59:59.000Z,6.02,99.98,-32767,50.338,-32767,-32767,-32767
2016-03-24T02:45:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-03-25T02:54:59.000Z,6.02,99.98,1.04,57.644,304.4,0.000024,30.98
2016-03-26T02:34:59.000Z,6.02,99.98,-32767,56.078,-32767,-32767,-32767
2016-03-27T02:44:59.000Z,6.02,99.98,-32767,57.004,-32767,-32767,-32767
2016-03-28T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-03-29T02:59:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,30.61
2016-03-30T02:59:59.000Z,6.02,99.98,-32767,57.256,-32767,-32767,-32767
2016-03-31T02:49:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,30.77
2016-04-01T02:59:59.000Z,6.02,99.98,-32767,57.9,-32767,-32767,31.49
2016-04-02T02:39:59.000Z,6.02,99.98,-32767,56.564,-32767,-32767,31.45
2016-04-03T02:50:00.000Z,6.02,99.98,-32767,55.456,-32767,-32767,-32767
2016-04-04T02:25:00.000Z,6.02,99.98,-32767,56,-32767,-32767,32.26
2016-04-05T02:40:00.000Z,6.02,99.98,0.7,57.544,157.2,0.000036,30.97
2016-04-06T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-04-07T02:59:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-04-08T02:59:59.000Z,6.02,99.98,-32767,46.968,-32767,-32767,-32767
2016-04-09T02:45:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,32.38
2016-04-10T02:54:59.000Z,6.02,99.98,-32767,57.578,-32767,-32767,31.89
2016-04-11T02:34:59.000Z,6.02,99.98,-32767,56.426,-32767,-32767,32.54
2016-04-12T02:44:59.000Z,6.02,99.98,-32767,56.17,-32767,-32767,-32767
2016-04-13T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-04-14T02:34:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-04-15T02:59:59.000Z,6.02,99.98,-32767,57.474,-32767,-32767,-32767
2016-04-16T02:49:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,32.74
2016-04-17T02:59:59.000Z,6.02,99.98,0.57,57.192,132.4,0.000168,32.99
2016-04-18T02:39:59.000Z,6.02,99.98,-32767,49.602,-32767,-32767,-32767
2016-04-19T02:50:00.000Z,6.02,99.98,-32767,57.144,-32767,-32767,-32767
2016-04-20T02:25:00.000Z,6.02,99.98,-32767,52.838,-32767,-32767,-32767
